Time,Category,Message,
3/5/2026 7:05:08 PM,Default,Strategy 'BreakoutStrategy/384204086' submitted a cancellation request for Order ID 'orderId='28812ff24f284553a551045783d90241' account='Sim101' name='TP2-brk-s-20260305-190500-6S-Consolidation' orderState=Working instrument='6S MAR26' orderAction=BuyToCover orderType='Limit' limitPrice=1.2811 stopPrice=0 quantity=2 tif=Gtc oco='' filled=0 averageFillPrice=0 onBehalfOf='' id=126 time='2026-03-05 19:05:00' gtd='2099-12-01' statementDate='2026-03-05'' which has not been confirmed cancelled. Please check your account orders and positions.,
3/5/2026 7:05:00 PM,Order,Order='668afbfcd57f4e5b917ed73a1c321b32/Sim101' Name='TP2-brk-s-20260305-185800-ZB-Consolidation' New state='Cancelled' Instrument='ZB JUN26' Action='Buy to cover' Limit price=116.1875 Stop price=0 Quantity=2 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
3/5/2026 7:05:00 PM,Order,Order='69735c711da143539ace7536fa4e7df4/Sim101' Name='TP2-brk-s-20260305-185800-ZB-Orb' New state='Cancelled' Instrument='ZB JUN26' Action='Buy to cover' Limit price=116.1875 Stop price=0 Quantity=2 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
3/5/2026 7:05:00 PM,Order,Order='520331f80c0f45a2bfad07f6022b4ca8/Sim101' Name='TP2-brk-s-20260305-183300-ZN-PrevDay' New state='Cancelled' Instrument='ZN JUN26' Action='Buy to cover' Limit price=112.359375 Stop price=0 Quantity=2 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
3/5/2026 7:05:00 PM,Order,Order='41025cc0751a4cbbb1a0c72e79fa7cbc/Sim101' Name='TP2-brk-l-20260305-183800-6S-PrevDay' New state='Cancelled' Instrument='6S MAR26' Action='Sell' Limit price=1.28255 Stop price=0 Quantity=2 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
3/5/2026 7:05:00 PM,Order,Order='9e10a852ab7140a899bf34e1cb3fdd8d/Sim101' Name='TP2-brk-l-20260305-190200-6C-Consolidation' New state='Cancelled' Instrument='6C MAR26' Action='Sell' Limit price=0.7322 Stop price=0 Quantity=2 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
3/5/2026 7:05:00 PM,Order,Order='7080ec1ac13e4d27955ece9defeeb8de/Sim101' Name='SL-brk-l-20260305-190200-6C-Consolidation' New state='Cancelled' Instrument='6C MAR26' Action='Sell' Limit price=0 Stop price=0.7319 Quantity=3 Type='Stop Market' Time in force=GTC Oco='OCO-brk-l-20260305-190200-6C-Consolidation' Filled=0 Fill price=0 Error='No error' Native error='',
3/5/2026 7:05:00 PM,Order,Order='9fcd3979d74441c88ab4265bb0bb90f1/Sim101' Name='TP1-brk-l-20260305-190200-6C-Consolidation' New state='Cancelled' Instrument='6C MAR26' Action='Sell' Limit price=0.7321 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='OCO-brk-l-20260305-190200-6C-Consolidation' Filled=0 Fill price=0 Error='No error' Native error='',
3/5/2026 7:05:00 PM,Order,Order='45a0bc8fc22e427badd7e67221b67bde/Sim101' Name='TP2-brk-l-20260305-190200-6C-PrevDay' New state='Cancelled' Instrument='6C MAR26' Action='Sell' Limit price=0.7322 Stop price=0 Quantity=2 Type='Limit' Time in force=GTC Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
3/5/2026 7:05:00 PM,Order,Order='ccf97361757840629cbbd4a2ba4ec529/Sim101' Name='SL-brk-l-20260305-190200-6C-PrevDay' New state='Cancelled' Instrument='6C MAR26' Action='Sell' Limit price=0 Stop price=0.7319 Quantity=3 Type='Stop Market' Time in force=GTC Oco='OCO-brk-l-20260305-190200-6C-PrevDay' Filled=0 Fill price=0 Error='No error' Native error='',
